CustID,usageCount,Tier1Cust,premierlastActivated,premierServiceEligible
eipk200072,885,Yes,04-2022,Yes
eipk200073,839,Yes,01-2021,Yes
eipk200074,591,Yes,03-2024,Yes
eipk200075,866,Yes,06-2020,Yes
eipk200076,943,Yes,08-2021,Yes
eipk200077,954,Yes,08-2018,Yes
eipk200078,927,Yes,07-2020,Yes
eipk200079,763,Yes,05-2018,Yes
eipk200080,930,Yes,07-2021,Yes
eipk200081,534,Yes,07-2022,Yes
eipk200082,705,Yes,01-2021,Yes
eipk200083,580,Yes,09-2018,Yes
eipk200084,919,Yes,05-2020,Yes
eipk200085,549,Yes,05-2024,Yes
eipk200086,859,Yes,07-2021,Yes
eipk200087,887,Yes,05-2020,Yes
eipk200088,501,Yes,08-2023,Yes
eipk200089,889,Yes,06-2022,Yes
eipk200090,553,Yes,02-2023,Yes
eipk200091,605,Yes,08-2019,Yes
eipk200092,759,Yes,12-2020,Yes
eipk200093,809,Yes,07-2019,Yes
eipk200094,976,Yes,10-2020,Yes
eipk200095,690,Yes,04-2024,Yes
eipk200096,901,Yes,01-2024,Yes
eipk200097,717,Yes,12-2020,Yes
eipk200098,543,Yes,10-2022,Yes
eipk200099,661,Yes,06-2022,Yes
eipk200100,701,Yes,01-2022,Yes
eipk200101,945,Yes,06-2020,Yes
eipk200102,983,Yes,07-2019,Yes
eipk200103,769,Yes,09-2023,Yes
eipk200104,850,Yes,07-2023,Yes
eipk200105,803,Yes,01-2019,Yes
eipk200106,770,Yes,07-2018,Yes
eipk200107,955,Yes,03-2019,Yes
eipk200108,961,Yes,09-2019,Yes
eipk200109,714,Yes,10-2019,Yes
eipk200110,751,Yes,09-2022,Yes
eipk200111,689,Yes,09-2018,Yes
eipk200112,795,Yes,04-2022,Yes
eipk200113,712,Yes,04-2022,Yes
eipk200114,707,Yes,04-2023,Yes
eipk200115,736,Yes,12-2023,Yes
eipk200116,837,Yes,10-2020,Yes
eipk200117,866,Yes,03-2024,Yes
eipk200118,552,Yes,02-2018,Yes
eipk200119,779,Yes,04-2019,Yes
eipk200120,909,Yes,01-2024,Yes
eipk200121,716,Yes,12-2020,Yes
eipk200122,751,Yes,10-2021,Yes
eipk200123,687,Yes,04-2019,Yes
eipk200124,879,Yes,04-2021,Yes
eipk200125,992,Yes,11-2022,Yes
eipk200126,540,Yes,10-2019,Yes
eipk200127,656,Yes,02-2023,Yes
eipk200128,514,Yes,01-2018,Yes
eipk200129,800,Yes,12-2020,Yes
eipk200130,564,Yes,08-2023,Yes
eipk200131,844,Yes,01-2020,Yes
eipk200132,826,Yes,09-2023,Yes
eipk200133,508,Yes,03-2019,Yes
eipk200134,843,Yes,05-2021,Yes
eipk200135,628,Yes,09-2023,Yes
eipk200136,991,Yes,03-2020,Yes
eipk200137,635,Yes,09-2019,Yes
eipk200138,971,Yes,03-2022,Yes
eipk200139,562,Yes,10-2019,Yes
eipk200140,638,Yes,01-2024,Yes
eipk200141,998,Yes,12-2023,Yes
eipk200142,580,Yes,01-2018,Yes
eipk200143,891,Yes,08-2021,Yes
eipk200144,662,Yes,06-2023,Yes
eipk200145,918,Yes,03-2018,Yes
eipk200146,788,Yes,04-2019,Yes
eipk200147,878,Yes,01-2022,Yes
eipk200148,760,Yes,06-2021,Yes
eipk200149,989,Yes,09-2020,Yes
eipk200150,730,Yes,08-2018,Yes
eipk200151,540,Yes,09-2020,Yes
eipk200152,527,Yes,05-2024,Yes
eipk200153,634,Yes,11-2018,Yes
eipk200154,700,Yes,12-2018,Yes
eipk200155,827,Yes,06-2023,Yes
eipk200156,767,Yes,10-2018,Yes
eipk200157,917,Yes,12-2023,Yes
eipk200158,532,Yes,05-2019,Yes
eipk200159,547,Yes,06-2019,Yes
eipk200160,906,Yes,05-2023,Yes
eipk200161,561,Yes,03-2024,Yes
eipk200162,715,Yes,11-2019,Yes
eipk200163,792,Yes,12-2020,Yes
eipk200164,598,Yes,12-2023,Yes
eipk200165,671,Yes,09-2022,Yes
eipk200166,859,Yes,05-2020,Yes
eipk200167,713,Yes,01-2024,Yes
eipk200168,974,Yes,04-2020,Yes
eipk200169,534,Yes,06-2021,Yes
eipk200170,948,Yes,06-2022,Yes
eipk200171,726,Yes,03-2022,Yes
eipk200172,600,Yes,11-2022,Yes
eipk200173,930,Yes,10-2023,Yes
eipk200174,961,Yes,01-2023,Yes
eipk200175,630,Yes,05-2019,Yes
eipk200176,756,Yes,10-2020,Yes
eipk200177,504,Yes,07-2020,Yes
eipk200178,717,Yes,09-2018,Yes
eipk200179,754,Yes,10-2021,Yes
eipk200180,897,Yes,03-2018,Yes
eipk200181,858,Yes,03-2024,Yes
eipk200182,782,Yes,07-2020,Yes
eipk200183,892,Yes,06-2020,Yes
eipk200184,706,Yes,01-2018,Yes
eipk200185,514,Yes,10-2018,Yes
eipk200186,845,Yes,08-2018,Yes
eipk200187,541,Yes,07-2020,Yes
eipk200188,879,Yes,10-2018,Yes
eipk200189,960,Yes,05-2018,Yes
eipk200190,678,Yes,09-2021,Yes
eipk200191,562,Yes,10-2018,Yes
eipk200192,851,Yes,10-2023,Yes
eipk200193,730,Yes,09-2020,Yes
eipk200194,740,Yes,02-2021,Yes
eipk200195,551,Yes,06-2023,Yes
eipk200196,595,Yes,05-2020,Yes
eipk200197,887,Yes,01-2024,Yes
eipk200198,721,Yes,06-2019,Yes
eipk200199,984,Yes,05-2024,Yes
eipk200200,906,Yes,04-2023,Yes
eipk200201,730,Yes,09-2020,Yes
eipk200202,736,Yes,04-2023,Yes
eipk200203,642,Yes,07-2022,Yes
eipk200204,670,Yes,02-2020,Yes
eipk200205,528,Yes,01-2019,Yes
eipk200206,535,Yes,02-2019,Yes
eipk200207,512,Yes,11-2022,Yes
eipk200208,659,Yes,12-2021,Yes
eipk200209,826,Yes,10-2022,Yes
eipk200210,686,Yes,08-2022,Yes
eipk200211,742,Yes,03-2023,Yes
eipk200212,585,Yes,08-2018,Yes
eipk200213,783,Yes,02-2019,Yes
eipk200214,565,Yes,09-2018,Yes
eipk200215,669,Yes,07-2022,Yes
eipk200216,544,Yes,10-2021,Yes
eipk200217,561,Yes,03-2019,Yes
eipk200218,940,Yes,10-2020,Yes
eipk200219,633,Yes,02-2020,Yes
eipk200220,783,Yes,02-2020,Yes
eipk200221,527,Yes,01-2024,Yes
eipk200222,607,Yes,01-2023,Yes
eipk200223,543,Yes,07-2019,Yes
eipk200224,839,Yes,09-2022,Yes
eipk200225,785,Yes,01-2020,Yes
eipk200226,945,Yes,02-2021,Yes
eipk200227,830,Yes,03-2023,Yes
eipk200228,627,Yes,10-2020,Yes
eipk200229,847,Yes,11-2018,Yes
eipk200230,972,Yes,12-2022,Yes
eipk200231,730,Yes,03-2024,Yes
eipk200232,689,Yes,02-2019,Yes
eipk200233,724,Yes,07-2018,Yes
eipk200234,884,Yes,01-2024,Yes
eipk200235,876,Yes,03-2018,Yes
eipk200236,782,Yes,01-2019,Yes
eipk200237,945,Yes,08-2020,Yes
eipk200238,620,Yes,11-2019,Yes
eipk200239,615,Yes,07-2022,Yes
eipk200240,960,Yes,06-2023,Yes
eipk200241,732,Yes,05-2023,Yes
eipk200242,758,Yes,05-2020,Yes
eipk200243,858,Yes,07-2022,Yes
eipk200244,697,Yes,08-2018,Yes
eipk200245,955,Yes,11-2019,Yes
eipk200246,910,Yes,04-2022,Yes
eipk200247,636,Yes,01-2018,Yes
eipk200248,817,Yes,05-2022,Yes
eipk200249,664,Yes,12-2020,Yes
eipk200250,724,Yes,02-2023,Yes
eipk200251,806,Yes,03-2021,Yes
eipk200252,733,Yes,09-2022,Yes
eipk200253,671,Yes,03-2024,Yes
eipk200254,651,Yes,06-2023,Yes
eipk200255,962,Yes,09-2019,Yes
eipk200256,814,Yes,02-2020,Yes
eipk200257,873,Yes,04-2021,Yes
eipk200258,659,Yes,06-2020,Yes
eipk200259,595,Yes,08-2018,Yes
eipk200260,971,Yes,01-2024,Yes
eipk200261,732,Yes,09-2018,Yes
eipk200262,679,Yes,07-2021,Yes
eipk200263,612,Yes,08-2018,Yes
eipk200264,817,Yes,07-2018,Yes
eipk200265,996,Yes,05-2023,Yes
eipk200266,941,Yes,08-2023,Yes
eipk200267,551,Yes,12-2023,Yes
eipk200268,767,Yes,10-2019,Yes
eipk200269,794,Yes,08-2018,Yes
eipk200270,885,Yes,09-2023,Yes
eipk200271,886,Yes,11-2018,Yes
eipk200272,612,Yes,02-2020,Yes
eipk200273,600,Yes,10-2018,Yes
eipk200274,612,Yes,10-2018,Yes
eipk200275,939,Yes,08-2020,Yes
eipk200276,580,Yes,07-2022,Yes
eipk200277,686,Yes,05-2019,Yes
eipk200278,612,Yes,05-2024,Yes
eipk200279,501,Yes,10-2020,Yes
eipk200280,629,Yes,06-2018,Yes
eipk200281,719,Yes,12-2018,Yes
eipk200282,553,Yes,09-2022,Yes
eipk200283,842,Yes,05-2024,Yes
eipk200284,984,Yes,11-2023,Yes
eipk200285,723,Yes,07-2021,Yes
eipk200286,724,Yes,12-2020,Yes
eipk200287,884,Yes,04-2020,Yes
eipk200288,902,Yes,07-2021,Yes
eipk200289,625,Yes,09-2020,Yes
eipk200290,629,Yes,12-2020,Yes
eipk200291,552,Yes,06-2022,Yes
eipk200292,671,Yes,06-2019,Yes
eipk200293,717,Yes,05-2021,Yes
eipk200294,659,Yes,02-2023,Yes
eipk200295,697,Yes,07-2021,Yes
eipk200296,915,Yes,10-2018,Yes
eipk200297,746,Yes,02-2018,Yes
eipk200298,823,Yes,02-2023,Yes
eipk200299,938,Yes,04-2024,Yes
eipk200300,702,Yes,02-2019,Yes
eipk200301,683,Yes,10-2018,Yes
eipk200302,622,Yes,01-2024,Yes
eipk200303,900,Yes,05-2020,Yes
eipk200304,754,Yes,09-2023,Yes
eipk200305,793,Yes,12-2020,Yes
eipk200306,779,Yes,06-2019,Yes
eipk200307,824,Yes,11-2021,Yes
eipk200308,871,Yes,10-2018,Yes
eipk200309,597,Yes,09-2020,Yes
eipk200310,697,Yes,02-2022,Yes
eipk200311,969,Yes,03-2021,Yes
eipk200312,894,Yes,10-2019,Yes
eipk200313,739,Yes,11-2022,Yes
eipk200314,643,Yes,02-2024,Yes
eipk200315,596,Yes,05-2021,Yes
eipk200316,700,Yes,12-2023,Yes
eipk200317,623,Yes,02-2018,Yes
eipk200318,686,Yes,03-2024,Yes
eipk200319,825,Yes,05-2021,Yes
eipk200320,963,Yes,03-2019,Yes
eipk200321,848,Yes,07-2019,Yes
eipk200322,758,Yes,12-2020,Yes
eipk200323,647,Yes,04-2019,Yes
eipk200324,751,Yes,03-2019,Yes
eipk200325,942,Yes,03-2024,Yes
eipk200326,919,Yes,09-2019,Yes
eipk200327,902,Yes,01-2021,Yes
eipk200328,845,Yes,02-2021,Yes
eipk200329,950,Yes,05-2020,Yes
eipk200330,646,Yes,11-2021,Yes
eipk200331,647,Yes,04-2020,Yes
eipk200332,851,Yes,12-2020,Yes
eipk200333,698,Yes,09-2023,Yes
eipk200334,807,Yes,06-2023,Yes
eipk200335,988,Yes,10-2020,Yes
eipk200336,916,Yes,07-2018,Yes
eipk200337,923,Yes,01-2019,Yes
eipk200338,627,Yes,10-2022,Yes
eipk200339,538,Yes,02-2021,Yes
eipk200340,837,Yes,06-2018,Yes
eipk200341,859,Yes,01-2018,Yes
eipk200342,628,Yes,09-2021,Yes
eipk200343,766,Yes,06-2019,Yes
eipk200344,975,Yes,12-2020,Yes
eipk200345,940,Yes,10-2019,Yes
eipk200346,972,Yes,12-2022,Yes
eipk200347,933,Yes,03-2024,Yes
eipk200348,650,Yes,10-2022,Yes
eipk200349,914,Yes,04-2024,Yes
eipk200350,977,Yes,02-2018,Yes
eipk200351,797,Yes,04-2019,Yes
eipk200352,598,Yes,11-2018,Yes
eipk200353,762,Yes,09-2019,Yes
eipk200354,751,Yes,02-2024,Yes
eipk200355,643,Yes,05-2018,Yes
eipk200356,845,Yes,02-2022,Yes
eipk200357,611,Yes,03-2024,Yes
eipk200358,999,Yes,08-2019,Yes
eipk200359,559,Yes,10-2022,Yes
eipk200360,868,Yes,06-2019,Yes
eipk200361,501,Yes,06-2018,Yes
eipk200362,884,Yes,06-2021,Yes
eipk200363,803,Yes,02-2022,Yes
eipk200364,753,Yes,06-2018,Yes
eipk200365,639,Yes,01-2022,Yes
eipk200366,952,Yes,05-2020,Yes
eipk200367,536,Yes,10-2020,Yes
eipk200368,659,Yes,02-2019,Yes
eipk200369,508,Yes,12-2021,Yes
eipk200370,732,Yes,04-2024,Yes
eipk200371,598,Yes,07-2022,Yes
eipk200372,646,Yes,09-2019,Yes
eipk200373,803,Yes,08-2020,Yes
eipk200374,707,Yes,10-2019,Yes
eipk200375,630,Yes,12-2019,Yes
eipk200376,903,Yes,08-2022,Yes
eipk200377,651,Yes,04-2018,Yes
eipk200378,553,Yes,01-2020,Yes
eipk200379,619,Yes,09-2021,Yes
eipk200380,660,Yes,08-2022,Yes
eipk200381,907,Yes,10-2020,Yes
eipk200382,615,Yes,12-2020,Yes
eipk200383,574,Yes,10-2019,Yes
eipk200384,612,Yes,03-2019,Yes
eipk200385,955,Yes,04-2022,Yes
eipk200386,919,Yes,06-2018,Yes
eipk200387,921,Yes,04-2023,Yes
eipk200388,603,Yes,06-2020,Yes
eipk200389,839,Yes,03-2020,Yes
eipk200390,753,Yes,03-2023,Yes
eipk200391,726,Yes,12-2021,Yes
eipk200392,611,Yes,06-2021,Yes
eipk200393,972,Yes,07-2020,Yes
eipk200394,598,Yes,07-2020,Yes
eipk200395,652,Yes,04-2018,Yes
eipk200396,848,Yes,03-2020,Yes
eipk200397,901,Yes,06-2022,Yes
eipk200398,883,Yes,09-2021,Yes
eipk200399,865,Yes,02-2021,Yes
eipk200400,837,Yes,10-2018,Yes
eipk200401,693,Yes,02-2021,Yes
eipk200402,809,Yes,12-2021,Yes
eipk200403,662,Yes,09-2023,Yes
eipk200404,707,Yes,06-2022,Yes
eipk200405,944,Yes,01-2024,Yes
eipk200406,668,Yes,09-2021,Yes
eipk200407,983,Yes,04-2018,Yes
eipk200408,660,Yes,04-2019,Yes
eipk200409,567,Yes,12-2020,Yes
eipk200410,788,Yes,01-2020,Yes
eipk200411,897,Yes,12-2020,Yes
eipk200412,776,Yes,06-2018,Yes
eipk200413,803,Yes,03-2019,Yes
eipk200414,903,Yes,11-2022,Yes
eipk200415,883,Yes,11-2021,Yes
eipk200416,891,Yes,07-2021,Yes
eipk200417,634,Yes,11-2022,Yes
eipk200418,694,Yes,09-2023,Yes
eipk200419,900,Yes,04-2019,Yes
eipk200420,627,Yes,04-2022,Yes
eipk200421,532,Yes,02-2020,Yes
eipk200422,675,Yes,11-2020,Yes
eipk200423,959,Yes,07-2018,Yes
eipk200424,942,Yes,11-2022,Yes
eipk200425,870,Yes,01-2018,Yes
eipk200426,969,Yes,10-2023,Yes
eipk200427,874,Yes,01-2024,Yes
eipk200428,521,Yes,03-2020,Yes
eipk200429,737,Yes,01-2022,Yes
eipk200430,657,Yes,11-2022,Yes
eipk200431,537,Yes,10-2018,Yes
eipk200432,729,Yes,09-2021,Yes
eipk200433,864,Yes,07-2021,Yes
eipk200434,550,Yes,05-2019,Yes
eipk200435,937,Yes,05-2021,Yes
eipk200436,763,Yes,09-2023,Yes
eipk200437,782,Yes,06-2021,Yes
eipk200438,526,Yes,07-2022,Yes
eipk200439,725,Yes,08-2021,Yes
eipk200440,776,Yes,07-2022,Yes
eipk200441,785,Yes,04-2021,Yes
eipk200442,596,Yes,03-2024,Yes
eipk200443,783,Yes,06-2019,Yes
eipk200444,866,Yes,02-2020,Yes
eipk200445,947,Yes,09-2022,Yes
eipk200446,980,Yes,04-2022,Yes
eipk200447,952,Yes,12-2019,Yes
eipk200448,816,Yes,05-2024,Yes
eipk200449,803,Yes,05-2021,Yes
eipk200450,646,Yes,07-2022,Yes
eipk200451,503,Yes,02-2024,Yes
eipk200452,534,Yes,01-2018,Yes
eipk200453,691,Yes,05-2021,Yes
eipk200454,548,Yes,03-2021,Yes
eipk200455,516,Yes,05-2020,Yes
eipk200456,671,Yes,10-2022,Yes
eipk200457,719,Yes,08-2021,Yes
eipk200458,657,Yes,03-2023,Yes
eipk200459,976,Yes,12-2022,Yes
eipk200460,545,Yes,12-2022,Yes
eipk200461,872,Yes,05-2020,Yes
eipk200462,505,Yes,09-2023,Yes
eipk200463,598,Yes,04-2023,Yes
eipk200464,879,Yes,11-2019,Yes
eipk200465,732,Yes,12-2018,Yes
eipk200466,536,Yes,03-2021,Yes
eipk200467,779,Yes,10-2023,Yes
eipk200468,848,Yes,10-2021,Yes
eipk200469,996,Yes,01-2019,Yes
eipk200470,801,Yes,08-2020,Yes
eipk200471,680,Yes,06-2021,Yes
eipk200472,594,Yes,07-2020,Yes
eipk200473,598,Yes,03-2020,Yes
eipk200474,687,Yes,08-2019,Yes
eipk200475,980,Yes,04-2018,Yes
eipk200476,615,Yes,07-2018,Yes
eipk200477,690,Yes,09-2020,Yes
eipk200478,752,Yes,05-2023,Yes
eipk200479,968,Yes,10-2018,Yes
eipk200480,915,Yes,02-2023,Yes
eipk200481,970,Yes,08-2022,Yes
eipk200482,660,Yes,03-2020,Yes
eipk200483,755,Yes,04-2022,Yes
eipk200484,822,Yes,07-2023,Yes
eipk200485,627,Yes,06-2022,Yes
eipk200486,517,Yes,09-2020,Yes
eipk200487,780,Yes,08-2019,Yes
eipk200488,989,Yes,01-2018,Yes
eipk200489,722,Yes,03-2019,Yes
eipk200490,553,Yes,10-2022,Yes
eipk200491,557,Yes,06-2020,Yes
eipk200492,822,Yes,12-2019,Yes
eipk200493,859,Yes,10-2023,Yes
eipk200494,673,Yes,03-2023,Yes
eipk200495,779,Yes,07-2018,Yes
eipk200496,613,Yes,04-2024,Yes
eipk200497,787,Yes,10-2020,Yes
eipk200498,930,Yes,05-2019,Yes
eipk200499,841,Yes,02-2023,Yes
eipk200500,650,Yes,07-2019,Yes
eipk200501,949,Yes,03-2023,Yes
eipk200502,626,Yes,12-2023,Yes
eipk200503,654,Yes,04-2024,Yes
eipk200504,989,Yes,07-2021,Yes
eipk200505,885,Yes,12-2022,Yes
eipk200506,973,Yes,08-2023,Yes
eipk200507,772,Yes,10-2022,Yes
eipk200508,603,Yes,02-2024,Yes
eipk200509,916,Yes,01-2023,Yes
eipk200510,892,Yes,10-2019,Yes
eipk200511,798,Yes,04-2023,Yes
eipk200512,745,Yes,01-2023,Yes
eipk200513,675,Yes,11-2020,Yes
eipk200514,538,Yes,10-2020,Yes
eipk200515,976,Yes,02-2021,Yes
eipk200516,669,Yes,11-2023,Yes
eipk200517,746,Yes,06-2023,Yes
eipk200518,525,Yes,09-2020,Yes
eipk200519,854,Yes,01-2021,Yes
eipk200520,805,Yes,12-2022,Yes
eipk200521,908,Yes,11-2018,Yes
eipk200522,907,Yes,03-2021,Yes
eipk200523,512,Yes,08-2020,Yes
eipk200524,815,Yes,01-2021,Yes
eipk200525,890,Yes,10-2021,Yes
eipk200526,812,Yes,08-2021,Yes
eipk200527,535,Yes,01-2024,Yes
eipk200528,672,Yes,11-2018,Yes
eipk200529,519,Yes,07-2019,Yes
eipk200530,820,Yes,09-2019,Yes
eipk200531,763,Yes,08-2020,Yes
eipk200532,993,Yes,04-2022,Yes
eipk200533,899,Yes,09-2019,Yes
eipk200534,641,Yes,05-2020,Yes
eipk200535,959,Yes,09-2018,Yes
eipk200536,870,Yes,08-2022,Yes
eipk200537,970,Yes,07-2022,Yes
eipk200538,642,Yes,09-2021,Yes
eipk200539,591,Yes,02-2024,Yes
eipk200540,853,Yes,03-2023,Yes
eipk200541,821,Yes,08-2022,Yes
eipk200542,787,Yes,09-2018,Yes
eipk200543,714,Yes,04-2020,Yes
eipk200544,946,Yes,09-2022,Yes
eipk200545,841,Yes,05-2022,Yes
eipk200546,550,Yes,03-2018,Yes
eipk200547,652,Yes,04-2022,Yes
eipk200548,685,Yes,05-2023,Yes
eipk200549,562,Yes,01-2018,Yes
eipk200550,689,Yes,12-2021,Yes
eipk200551,624,Yes,05-2021,Yes
eipk200552,649,Yes,05-2022,Yes
eipk200553,813,Yes,09-2022,Yes
eipk200554,557,Yes,01-2024,Yes
eipk200555,841,Yes,02-2024,Yes
eipk200556,804,Yes,06-2020,Yes
eipk200557,679,Yes,06-2023,Yes
eipk200558,669,Yes,06-2020,Yes
eipk200559,825,Yes,01-2021,Yes
eipk200560,770,Yes,11-2022,Yes
eipk200561,553,Yes,06-2023,Yes
eipk200562,990,Yes,04-2018,Yes
eipk200563,943,Yes,05-2022,Yes
eipk200564,600,Yes,10-2021,Yes
eipk200565,980,Yes,07-2022,Yes
eipk200566,763,Yes,11-2019,Yes
eipk200567,552,Yes,03-2023,Yes
eipk200568,559,Yes,06-2019,Yes
eipk200569,991,Yes,12-2023,Yes
eipk200570,607,Yes,04-2018,Yes
eipk200571,504,Yes,06-2022,Yes
eipk200572,602,Yes,04-2024,Yes
eipk200573,695,Yes,04-2018,Yes
eipk200574,761,Yes,12-2018,Yes
eipk200575,864,Yes,10-2022,Yes
eipk200576,979,Yes,07-2019,Yes
eipk200577,871,Yes,03-2023,Yes
eipk200578,849,Yes,01-2020,Yes
eipk200579,546,Yes,07-2018,Yes
eipk200580,854,Yes,12-2020,Yes
eipk200581,810,Yes,04-2022,Yes
eipk200582,923,Yes,09-2021,Yes
eipk200583,807,Yes,05-2020,Yes
eipk200584,643,Yes,02-2023,Yes
eipk200585,768,Yes,08-2021,Yes
eipk200586,869,Yes,10-2021,Yes
eipk200587,623,Yes,04-2022,Yes
eipk200588,605,Yes,02-2021,Yes
eipk200589,657,Yes,09-2022,Yes
eipk200590,646,Yes,10-2020,Yes
eipk200591,644,Yes,12-2018,Yes
eipk200592,619,Yes,04-2023,Yes
eipk200593,818,Yes,03-2018,Yes
eipk200594,774,Yes,01-2024,Yes
eipk200595,591,Yes,08-2018,Yes
eipk200596,557,Yes,12-2021,Yes
eipk200597,938,Yes,07-2020,Yes
eipk200598,845,Yes,10-2018,Yes
eipk200599,728,Yes,06-2018,Yes
eipk200600,973,Yes,05-2018,Yes
eipk200601,616,Yes,10-2020,Yes
eipk200602,817,Yes,03-2020,Yes
eipk200603,778,Yes,03-2018,Yes
eipk200604,626,Yes,09-2019,Yes
eipk200605,892,Yes,09-2020,Yes
eipk200606,895,Yes,06-2019,Yes
eipk200607,628,Yes,04-2023,Yes
eipk200608,557,Yes,04-2019,Yes
eipk200609,621,Yes,04-2024,Yes
eipk200610,500,Yes,06-2020,Yes
eipk200611,738,Yes,03-2023,Yes
eipk200612,789,Yes,11-2020,Yes
eipk200613,595,Yes,02-2022,Yes
eipk200614,625,Yes,11-2019,Yes
eipk200615,617,Yes,04-2019,Yes
eipk200616,547,Yes,11-2019,Yes
eipk200617,588,Yes,06-2021,Yes
eipk200618,987,Yes,03-2019,Yes
eipk200619,736,Yes,04-2018,Yes
eipk200620,872,Yes,07-2021,Yes
eipk200621,884,Yes,03-2022,Yes
eipk200622,771,Yes,06-2022,Yes
eipk200623,688,Yes,03-2020,Yes
eipk200624,986,Yes,11-2018,Yes
eipk200625,691,Yes,09-2020,Yes
eipk200626,946,Yes,02-2019,Yes
eipk200627,568,Yes,05-2021,Yes
eipk200628,777,Yes,05-2019,Yes
eipk200629,848,Yes,05-2024,Yes
eipk200630,746,Yes,06-2018,Yes
eipk200631,950,Yes,11-2021,Yes
eipk200632,575,Yes,12-2023,Yes
eipk200633,653,Yes,10-2022,Yes
eipk200634,643,Yes,02-2022,Yes
eipk200635,934,Yes,10-2018,Yes
eipk200636,984,Yes,09-2023,Yes
eipk200637,585,Yes,10-2021,Yes
eipk200638,684,Yes,02-2018,Yes
eipk200639,784,Yes,09-2022,Yes
eipk200640,961,Yes,07-2023,Yes
eipk200641,719,Yes,03-2019,Yes
eipk200642,568,Yes,11-2022,Yes
eipk200643,546,Yes,01-2022,Yes
eipk200644,996,Yes,02-2023,Yes
eipk200645,593,Yes,09-2019,Yes
eipk200646,737,Yes,11-2022,Yes
eipk200647,945,Yes,12-2019,Yes
eipk200648,999,Yes,11-2023,Yes
eipk200649,952,Yes,01-2021,Yes
eipk200650,703,Yes,01-2024,Yes
eipk200651,899,Yes,06-2023,Yes
eipk200652,717,Yes,03-2023,Yes
eipk200653,973,Yes,11-2022,Yes
eipk200654,931,Yes,01-2021,Yes
eipk200655,840,Yes,08-2021,Yes
eipk200656,538,Yes,10-2020,Yes
eipk200657,599,Yes,12-2018,Yes
eipk200658,788,Yes,02-2021,Yes
eipk200659,753,Yes,01-2023,Yes
eipk200660,721,Yes,09-2020,Yes
eipk200661,856,Yes,03-2023,Yes
eipk200662,522,Yes,05-2024,Yes
eipk200663,749,Yes,04-2022,Yes
